Drink coffee;Morning cup of coffee for energy;Medium
Drink water;Need to drink 2 liters of water today;Low
Go for a walk;Half hour walk after lunch;Medium
Organize the desk;Desk is messy and needs tidying;High
Reply to emails;Some emails pending from yesterday;High
Call mom;Check in on her;High
Read 10 pages;From the book I'm currently reading;High
Do a workout;15 minutes of light exercise;Low
Buy vegetables;From the supermarket;High
Wash the car;Hasn't been washed in two weeks;High
Review the report;Monthly report before the meeting;High
Book a doctor appointment;Routine checkup;Medium
Pay the bills;Electricity and water;High
Clean the kitchen;After dinner;Medium
Backup the files;Important files backup;Low
Watch an episode;Of the show I'm currently watching;Low
Write in journal;Summary of today;High
Cook dinner;Something quick and easy;Low
Organize the closet;Clothes need sorting;High
Take a break;Rest a bit before continuing work;High
